locality_id,education_level,count,last_updated
1,no_schooling,348,2026-01-17
1,primary,945,2026-01-17
1,secondary,1563,2026-01-17
1,diploma,531,2026-01-17
1,bachelor,943,2026-01-17
1,master,215,2026-01-17
1,phd,34,2026-01-17
2,no_schooling,1180,2026-01-17
2,primary,6837,2026-01-17
2,secondary,11738,2026-01-17
2,diploma,3341,2026-01-17
2,bachelor,5649,2026-01-17
2,master,1539,2026-01-17
2,phd,160,2026-01-17
3,no_schooling,450,2026-01-17
3,primary,2411,2026-01-17
3,secondary,3402,2026-01-17
3,diploma,1298,2026-01-17
3,bachelor,2222,2026-01-17
3,master,472,2026-01-17
3,phd,48,2026-01-17
4,no_schooling,763,2026-01-17
4,primary,2547,2026-01-17
4,secondary,3309,2026-01-17
4,diploma,1256,2026-01-17
4,bachelor,1889,2026-01-17
4,master,309,2026-01-17
4,phd,35,2026-01-17
5,no_schooling,1698,2026-01-17
5,primary,6780,2026-01-17
5,secondary,9021,2026-01-17
5,diploma,3352,2026-01-17
5,bachelor,4353,2026-01-17
5,master,1011,2026-01-17
5,phd,102,2026-01-17
6,no_schooling,281,2026-01-17
6,primary,1309,2026-01-17
6,secondary,2070,2026-01-17
6,diploma,636,2026-01-17
6,bachelor,1323,2026-01-17
6,master,147,2026-01-17
6,phd,53,2026-01-17
7,no_schooling,447,2026-01-17
7,primary,2141,2026-01-17
7,secondary,2780,2026-01-17
7,diploma,895,2026-01-17
7,bachelor,1442,2026-01-17
7,master,400,2026-01-17
7,phd,70,2026-01-17
8,no_schooling,1919,2026-01-17
8,primary,6542,2026-01-17
8,secondary,7021,2026-01-17
8,diploma,3164,2026-01-17
8,bachelor,4256,2026-01-17
8,master,593,2026-01-17
8,phd,102,2026-01-17
9,no_schooling,704,2026-01-17
9,primary,5101,2026-01-17
9,secondary,6132,2026-01-17
9,diploma,2330,2026-01-17
9,bachelor,2604,2026-01-17
9,master,508,2026-01-17
9,phd,71,2026-01-17
10,no_schooling,1029,2026-01-17
10,primary,5334,2026-01-17
10,secondary,6511,2026-01-17
10,diploma,2393,2026-01-17
10,bachelor,3697,2026-01-17
10,master,799,2026-01-17
10,phd,153,2026-01-17
11,no_schooling,1654,2026-01-17
11,primary,5572,2026-01-17
11,secondary,7922,2026-01-17
11,diploma,2633,2026-01-17
11,bachelor,5137,2026-01-17
11,master,863,2026-01-17
11,phd,109,2026-01-17
12,no_schooling,1531,2026-01-17
12,primary,9625,2026-01-17
12,secondary,13827,2026-01-17
12,diploma,4654,2026-01-17
12,bachelor,7892,2026-01-17
12,master,899,2026-01-17
12,phd,300,2026-01-17
13,no_schooling,2220,2026-01-17
13,primary,6552,2026-01-17
13,secondary,8785,2026-01-17
13,diploma,2615,2026-01-17
13,bachelor,4330,2026-01-17
13,master,1078,2026-01-17
13,phd,105,2026-01-17
14,no_schooling,2825,2026-01-17
14,primary,8123,2026-01-17
14,secondary,11225,2026-01-17
14,diploma,4471,2026-01-17
14,bachelor,5628,2026-01-17
14,master,1015,2026-01-17
14,phd,301,2026-01-17
15,no_schooling,549,2026-01-17
15,primary,3169,2026-01-17
15,secondary,3579,2026-01-17
15,diploma,1069,2026-01-17
15,bachelor,1680,2026-01-17
15,master,437,2026-01-17
15,phd,26,2026-01-17
16,no_schooling,1926,2026-01-17
16,primary,8954,2026-01-17
16,secondary,10021,2026-01-17
16,diploma,3109,2026-01-17
16,bachelor,5239,2026-01-17
16,master,1523,2026-01-17
16,phd,202,2026-01-17
17,no_schooling,368,2026-01-17
17,primary,1438,2026-01-17
17,secondary,1926,2026-01-17
17,diploma,597,2026-01-17
17,bachelor,1163,2026-01-17
17,master,277,2026-01-17
17,phd,42,2026-01-17
18,no_schooling,1511,2026-01-17
18,primary,7083,2026-01-17
18,secondary,9261,2026-01-17
