locality_id,male_employed,female_employed,male_unemployed,female_unemployed,youth_employed_18_29,youth_unemployed_18_29,last_updated
1,988,466,609,287,473,457,2026-01-17
2,6569,3300,3364,1690,2977,2451,2026-01-17
3,2310,1468,1124,715,1097,1308,2026-01-17
4,1846,1116,694,419,702,839,2026-01-17
5,6525,3257,3462,1728,3488,3021,2026-01-17
6,1056,589,534,297,597,457,2026-01-17
7,1673,1066,884,563,842,639,2026-01-17
8,6465,3684,2270,1293,2977,2060,2026-01-17
9,3978,1935,1893,921,1761,1470,2026-01-17
10,4173,2391,2542,1457,2237,2065,2026-01-17
11,5918,3542,3145,1882,2804,2348,2026-01-17
12,8204,4706,5001,2869,5012,3430,2026-01-17
13,5826,3845,3619,2388,2752,3149,2026-01-17
14,7239,4059,2624,1471,3765,3079,2026-01-17
15,2768,1357,1295,635,1581,1131,2026-01-17
16,7785,4950,3274,2082,3698,2932,2026-01-17
17,1198,693,627,363,696,571,2026-01-17
18,7002,3981,3011,1712,3127,2608,2026-01-17
19,2612,1294,1156,572,1014,1205,2026-01-17
20,6612,3564,3923,2114,4003,3198,2026-01-17
21,1747,878,1026,515,855,863,2026-01-17
22,1867,987,1000,529,818,902,2026-01-17
23,4484,2859,2696,1719,2401,2335,2026-01-17
24,4015,2082,1522,789,1751,1428,2026-01-17
25,1571,1026,785,513,704,704,2026-01-17
26,1807,918,949,482,836,681,2026-01-17
27,3296,2017,2194,1342,1580,1619,2026-01-17
28,7311,3838,3580,1879,4335,3120,2026-01-17
29,2519,1331,1273,672,1042,1001,2026-01-17
30,5544,3115,2299,1292,2575,2587,2026-01-17
31,4216,2386,2303,1303,1954,1661,2026-01-17
32,4050,2338,1696,979,1633,1675,2026-01-17
33,4109,2042,2000,994,2119,1809,2026-01-17
34,3029,1649,1448,788,1397,1285,2026-01-17
35,6953,3891,3539,1980,2700,3192,2026-01-17
36,1451,944,536,349,709,549,2026-01-17
37,2411,1339,837,465,1058,1012,2026-01-17
38,8046,5072,2966,1870,3563,3271,2026-01-17
39,1052,630,536,321,491,599,2026-01-17
40,6296,4179,2516,1669,2894,3176,2026-01-17
41,915,461,402,202,409,301,2026-01-17
42,5742,3211,2892,1617,2401,2518,2026-01-17
43,8592,5075,3127,1847,3843,3381,2026-01-17
44,2944,1678,1118,637,1215,1134,2026-01-17
45,6217,3616,3871,2251,2636,3144,2026-01-17
46,6302,4174,2634,1744,3041,2453,2026-01-17
47,2822,1583,1309,734,1668,1126,2026-01-17
48,4646,2649,2039,1162,2335,2146,2026-01-17
49,6311,3102,3538,1739,2690,3008,2026-01-17
50,7793,4538,3347,1949,4091,3458,2026-01-17
51,2987,1406,1019,479,1323,1128,2026-01-17
52,1662,1027,1057,653,798,900,2026-01-17
53,7576,5031,4459,2961,3985,3898,2026-01-17
54,5611,3040,2019,1094,2042,2216,2026-01-17
55,7725,4015,3769,1959,4012,3304,2026-01-17
56,3714,1963,2122,1121,1852,2103,2026-01-17
57,4982,3126,3318,2082,3442,2441,2026-01-17
58,2732,1470,950,511,1317,937,2026-01-17
59,3027,1445,1332,636,1268,1230,2026-01-17
60,1503,816,598,324,716,547,2026-01-17
61,5802,2847,2497,1225,2755,2404,2026-01-17
62,2450,1344,1013,556,1029,1059,2026-01-17
63,6539,3207,2352,1153,2836,3105,2026-01-17
64,8267,4428,2993,1603,3916,2661,2026-01-17
65,5244,3104,3080,1823,3030,2264,2026-01-17
66,2506,1349,1310,705,962,1095,2026-01-17
67,5656,2825,3275,1635,2986,2337,2026-01-17
