locality_id,total_working_age_population,employed_total,unemployed_total,unemployment_rate,public_sector_employees,private_sector_employees,self_employed,informal_sector_workers,students,retired,economically_inactive,average_monthly_income,poverty_rate,last_updated
1,45000,39000,6000,13.3,12000,18000,6000,3000,15000,4000,8000,4800,12.0,2025-01-01
2,1800,1300,500,27.8,200,400,300,400,600,200,400,2200,32.0,2025-01-01
3,2200,1600,600,27.3,250,500,350,500,700,220,450,2300,30.0,2025-01-01
4,3500,2700,800,22.9,400,900,600,800,1100,300,600,2600,25.0,2025-01-01
5,2400,1800,600,25.0,300,600,400,500,800,250,500,2400,28.0,2025-01-01
6,1600,1150,450,28.1,150,350,300,350,500,180,420,2100,35.0,2025-01-01
7,2000,1500,500,25.0,220,500,400,380,650,210,480,2350,30.0,2025-01-01
8,2800,2200,600,21.4,350,750,500,600,900,260,520,2700,22.0,2025-01-01
9,1700,1300,400,23.5,200,400,300,400,550,200,400,2400,27.0,2025-01-01
10,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
11,1900,1450,450,23.7,220,450,380,400,600,210,420,2450,26.0,2025-01-01
12,2300,1750,550,23.9,280,550,450,470,720,230,460,2500,24.0,2025-01-01
13,4200,3300,900,21.4,500,1200,700,900,1300,350,700,2800,20.0,2025-01-01
14,3100,2350,750,24.2,380,850,550,570,1000,300,600,2600,25.0,2025-01-01
15,2700,2000,700,25.9,350,700,500,450,850,280,550,2550,27.0,2025-01-01
16,1800,1300,500,27.8,220,400,350,330,600,200,420,2300,32.0,2025-01-01
17,1500,1100,400,26.7,180,350,300,270,500,180,380,2250,33.0,2025-01-01
18,1600,1200,400,25.0,200,380,300,320,520,190,400,2350,29.0,2025-01-01
19,2500,1900,600,24.0,300,650,450,500,800,260,500,2600,24.0,2025-01-01
20,9000,7800,1200,13.3,2500,3500,1200,600,3000,900,1400,4200,14.0,2025-01-01
21,2300,1700,600,26.1,280,550,400,470,750,230,450,2450,28.0,2025-01-01
22,6500,5600,900,13.8,1800,2600,900,300,3500,700,1200,4000,15.0,2025-01-01
23,30000,26000,4000,13.3,9000,11000,4000,2000,12000,3500,6000,4600,13.0,2025-01-01
24,2600,1900,700,26.9,300,600,450,550,850,260,520,2400,29.0,2025-01-01
25,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
26,1700,1250,450,26.5,200,380,300,370,550,200,420,2350,32.0,2025-01-01
27,2100,1550,550,26.2,250,500,400,400,700,220,450,2400,29.0,2025-01-01
28,1900,1450,450,23.7,220,450,380,400,600,210,420,2450,26.0,2025-01-01
29,3600,2800,800,22.2,450,950,650,750,1200,320,650,2750,23.0,2025-01-01
30,1600,1150,450,28.1,150,350,300,350,500,180,420,2100,35.0,2025-01-01
31,1400,1000,400,28.6,150,300,250,300,450,170,400,2050,36.0,2025-01-01
32,2000,1500,500,25.0,220,500,400,380,650,210,480,2350,30.0,2025-01-01
33,1300,950,350,26.9,130,280,240,300,430,160,380,2100,34.0,2025-01-01
34,1700,1250,450,26.5,200,380,300,370,550,200,420,2350,32.0,2025-01-01
35,1500,1100,400,26.7,180,350,300,270,500,180,380,2250,33.0,2025-01-01
36,1600,1200,400,25.0,200,380,300,320,520,190,400,2350,29.0,2025-01-01
37,1200,900,300,25.0,130,250,220,300,400,150,350,2150,31.0,2025-01-01
38,2100,1600,500,23.8,250,520,420,410,680,220,450,2450,27.0,2025-01-01
39,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
40,2600,2000,600,23.1,320,700,480,500,850,260,520,2600,24.0,2025-01-01
41,1700,1250,450,26.5,200,380,300,370,550,200,420,2350,32.0,2025-01-01
42,1200,880,320,26.7,120,240,200,320,380,150,340,2100,34.0,2025-01-01
43,2100,1600,500,23.8,250,520,420,410,680,220,450,2450,27.0,2025-01-01
44,1800,1350,450,25.0,220,420,350,360,600,200,420,2400,28.0,2025-01-01
45,1900,1450,450,23.7,220,450,380,400,600,210,420,2450,26.0,2025-01-01
46,900,650,250,27.8,90,180,160,220,300,120,260,2000,38.0,2025-01-01
47,800,580,220,27.5,80,160,140,200,260,110,240,1950,40.0,2025-01-01
48,1500,1100,400,26.7,180,350,300,270,500,180,380,2250,33.0,2025-01-01
49,1300,950,350,26.9,130,280,240,300,430,160,380,2100,34.0,2025-01-01
50,1600,1200,400,25.0,200,380,300,320,520,190,400,2350,29.0,2025-01-01
51,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
52,2300,1750,550,23.9,280,550,450,470,720,230,460,2500,24.0,2025-01-01
53,2600,2000,600,23.1,320,700,480,500,850,260,520,2600,24.0,2025-01-01
54,1800,1350,450,25.0,220,420,350,360,600,200,420,2400,28.0,2025-01-01
55,2200,1650,550,25.0,260,540,420,430,720,220,460,2450,29.0,2025-01-01
56,900,650,250,27.8,90,180,160,220,300,120,260,2000,38.0,2025-01-01
57,3100,2400,700,22.6,380,850,550,570,1000,300,600,2600,25.0,2025-01-01
58,2800,2150,650,23.2,340,750,520,540,900,260,520,2650,24.0,2025-01-01
59,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
60,2000,1500,500,25.0,220,500,400,380,650,210,480,2350,30.0,2025-01-01
61,1100,800,300,27.3,120,240,200,240,360,150,300,2050,36.0,2025-01-01
62,1600,1200,400,25.0,200,380,300,320,520,190,400,2350,29.0,2025-01-01
63,1700,1250,450,26.5,200,380,300,370,550,200,420,2350,32.0,2025-01-01
64,1500,1100,400,26.7,180,350,300,270,500,180,380,2250,33.0,2025-01-01
65,1400,1050,350,25.0,160,320,260,310,480,180,380,2300,30.0,2025-01-01
66,2100,1600,500,23.8,250,520,420,410,680,220,450,2450,27.0,2025-01-01
67,2400,1800,600,25.0,300,600,400,500,800,250,500,2400,28.0,2025-01-01
