locality_id,total_population,households,population_density,growth_rate,age_0_14_percent,age_15_29_percent,age_30_64_percent,age_65_plus_percent,male_percent,female_percent,avg_household_size,urbanization_level,last_updated
1,38000,8200,2375,2.1,32,22,41,5,50.8,49.2,4.6,urban,2025-01-01
2,3800,720,905,1.9,35,21,39,5,51.1,48.9,5.3,rural,2025-01-01
3,4100,780,1079,2.0,36,22,37,5,51.3,48.7,5.2,rural,2025-01-01
4,8700,1650,696,1.7,33,20,42,5,50.6,49.4,5.3,semi-urban,2025-01-01
5,9800,1850,1010,1.8,34,21,40,5,50.9,49.1,5.3,semi-urban,2025-01-01
6,3200,600,1032,1.9,35,22,38,5,51.2,48.8,5.3,rural,2025-01-01
7,6200,1150,969,1.8,33,21,41,5,50.7,49.3,5.4,semi-urban,2025-01-01
8,4800,880,1200,2.0,34,22,39,5,51.0,49.0,5.5,rural,2025-01-01
9,6200,1200,1216,1.9,34,21,40,5,50.8,49.2,5.2,rural,2025-01-01
10,5400,1050,857,1.7,33,20,42,5,50.6,49.4,5.1,rural,2025-01-01
11,5100,960,1417,1.8,35,21,39,5,51.1,48.9,5.3,rural,2025-01-01
12,6900,1300,1169,1.9,34,22,39,5,50.9,49.1,5.3,rural,2025-01-01
13,13500,2700,1298,2.2,36,23,36,5,51.4,48.6,5.0,semi-urban,2025-01-01
14,9800,1800,1195,1.8,34,21,40,5,50.9,49.1,5.4,semi-urban,2025-01-01
15,4600,900,958,1.7,33,20,42,5,50.6,49.4,5.1,rural,2025-01-01
16,5600,1050,918,1.8,34,21,40,5,50.8,49.2,5.3,rural,2025-01-01
17,4900,920,907,1.7,33,20,42,5,50.5,49.5,5.3,rural,2025-01-01
18,4100,780,953,1.6,32,20,43,5,50.4,49.6,5.3,rural,2025-01-01
19,6200,1150,1088,1.9,34,21,40,5,50.9,49.1,5.4,rural,2025-01-01
20,18500,3600,1568,2.1,35,22,38,5,51.2,48.8,5.1,urban,2025-01-01
21,4600,870,1122,1.8,34,21,40,5,50.8,49.2,5.3,rural,2025-01-01
22,9800,1850,1241,2.0,33,23,39,5,50.7,49.3,5.3,semi-urban,2025-01-01
23,62000,13500,2818,2.3,31,22,42,5,50.5,49.5,4.6,urban,2025-01-01
24,6500,1250,956,1.8,34,21,40,5,50.8,49.2,5.2,semi-urban,2025-01-01
25,3800,720,974,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
26,4200,780,933,1.6,32,20,43,5,50.6,49.4,5.4,rural,2025-01-01
27,9800,1850,1289,1.9,34,21,40,5,50.9,49.1,5.3,semi-urban,2025-01-01
28,3600,680,1125,1.8,35,22,38,5,51.1,48.9,5.3,rural,2025-01-01
29,14500,2750,1543,2.0,34,22,39,5,50.9,49.1,5.3,semi-urban,2025-01-01
30,8900,1700,1011,1.8,33,21,41,5,50.7,49.3,5.2,semi-urban,2025-01-01
31,4300,820,935,1.7,33,20,42,5,50.6,49.4,5.2,rural,2025-01-01
32,6900,1300,676,1.6,32,20,43,5,50.5,49.5,5.3,semi-urban,2025-01-01
33,3700,700,1000,1.7,34,21,40,5,50.8,49.2,5.3,rural,2025-01-01
34,2900,550,853,1.6,33,20,42,5,50.6,49.4,5.3,rural,2025-01-01
35,8300,1550,1137,1.8,34,21,40,5,50.8,49.2,5.4,semi-urban,2025-01-01
36,5200,980,1061,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
37,3100,590,1000,1.8,35,22,38,5,51.0,49.0,5.3,rural,2025-01-01
38,4500,860,865,1.7,33,21,41,5,50.7,49.3,5.2,rural,2025-01-01
39,3600,680,818,1.6,32,20,43,5,50.5,49.5,5.3,rural,2025-01-01
40,4200,800,1105,1.7,33,21,41,5,50.7,49.3,5.2,rural,2025-01-01
41,3900,740,975,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
42,3500,660,1000,1.6,32,20,43,5,50.6,49.4,5.3,rural,2025-01-01
43,9800,1850,1021,1.9,34,22,39,5,50.9,49.1,5.3,semi-urban,2025-01-01
44,7200,1350,1014,1.8,33,21,41,5,50.7,49.3,5.3,semi-urban,2025-01-01
45,4100,780,953,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
46,2600,500,1000,1.6,32,20,43,5,50.6,49.4,5.2,rural,2025-01-01
47,2800,530,966,1.6,32,20,43,5,50.6,49.4,5.3,rural,2025-01-01
48,4300,820,1049,1.7,33,21,41,5,50.7,49.3,5.2,rural,2025-01-01
49,3600,680,554,1.5,31,20,44,5,50.5,49.5,5.3,rural,2025-01-01
50,4100,780,1108,1.7,33,21,41,5,50.7,49.3,5.3,rural,2025-01-01
