locality_id,profession,count,last_updated
1,doctors,5,2026-01-17
1,nurses,17,2026-01-17
1,teachers,122,2026-01-17
1,engineers_computer,24,2026-01-17
1,engineers_civil,39,2026-01-17
1,engineers_electrical,26,2026-01-17
1,employees_public,348,2026-01-17
1,employees_private,514,2026-01-17
1,agriculture_workers,136,2026-01-17
1,construction_workers,246,2026-01-17
1,technicians,148,2026-01-17
1,freelancers,94,2026-01-17
1,business_owners,86,2026-01-17
1,students_university,546,2026-01-17
1,unemployed,691,2026-01-17
2,doctors,86,2026-01-17
2,nurses,169,2026-01-17
2,teachers,1247,2026-01-17
2,engineers_computer,416,2026-01-17
2,engineers_civil,290,2026-01-17
2,engineers_electrical,89,2026-01-17
2,employees_public,2575,2026-01-17
2,employees_private,3183,2026-01-17
2,agriculture_workers,736,2026-01-17
2,construction_workers,1833,2026-01-17
2,technicians,1060,2026-01-17
2,freelancers,1157,2026-01-17
2,business_owners,612,2026-01-17
2,students_university,4407,2026-01-17
2,unemployed,5721,2026-01-17
3,doctors,19,2026-01-17
3,nurses,22,2026-01-17
3,teachers,254,2026-01-17
3,engineers_computer,120,2026-01-17
3,engineers_civil,69,2026-01-17
3,engineers_electrical,44,2026-01-17
3,employees_public,691,2026-01-17
3,employees_private,1045,2026-01-17
3,agriculture_workers,250,2026-01-17
3,construction_workers,368,2026-01-17
3,technicians,249,2026-01-17
3,freelancers,322,2026-01-17
3,business_owners,204,2026-01-17
3,students_university,982,2026-01-17
3,unemployed,1458,2026-01-17
4,doctors,14,2026-01-17
4,nurses,21,2026-01-17
4,teachers,287,2026-01-17
4,engineers_computer,63,2026-01-17
4,engineers_civil,50,2026-01-17
4,engineers_electrical,41,2026-01-17
4,employees_public,565,2026-01-17
4,employees_private,978,2026-01-17
4,agriculture_workers,372,2026-01-17
4,construction_workers,283,2026-01-17
4,technicians,287,2026-01-17
4,freelancers,212,2026-01-17
4,business_owners,86,2026-01-17
4,students_university,798,2026-01-17
4,unemployed,1035,2026-01-17
5,doctors,67,2026-01-17
5,nurses,96,2026-01-17
5,teachers,1018,2026-01-17
5,engineers_computer,274,2026-01-17
5,engineers_civil,223,2026-01-17
5,engineers_electrical,122,2026-01-17
5,employees_public,1957,2026-01-17
5,employees_private,3074,2026-01-17
5,agriculture_workers,1383,2026-01-17
5,construction_workers,1278,2026-01-17
5,technicians,954,2026-01-17
5,freelancers,650,2026-01-17
5,business_owners,386,2026-01-17
5,students_university,3018,2026-01-17
5,unemployed,5941,2026-01-17
6,doctors,12,2026-01-17
6,nurses,19,2026-01-17
6,teachers,192,2026-01-17
6,engineers_computer,43,2026-01-17
6,engineers_civil,36,2026-01-17
6,engineers_electrical,29,2026-01-17
6,employees_public,465,2026-01-17
6,employees_private,676,2026-01-17
6,agriculture_workers,149,2026-01-17
6,construction_workers,303,2026-01-17
6,technicians,242,2026-01-17
6,freelancers,168,2026-01-17
6,business_owners,149,2026-01-17
6,students_university,499,2026-01-17
6,unemployed,857,2026-01-17
7,doctors,16,2026-01-17
7,nurses,15,2026-01-17
7,teachers,236,2026-01-17
7,engineers_computer,65,2026-01-17
7,engineers_civil,29,2026-01-17
7,engineers_electrical,33,2026-01-17
7,employees_public,526,2026-01-17
7,employees_private,824,2026-01-17
7,agriculture_workers,117,2026-01-17
7,construction_workers,343,2026-01-17
7,technicians,260,2026-01-17
7,freelancers,182,2026-01-17
7,business_owners,155,2026-01-17
7,students_university,1084,2026-01-17
7,unemployed,921,2026-01-17
8,doctors,40,2026-01-17
8,nurses,90,2026-01-17
8,teachers,777,2026-01-17
8,engineers_computer,176,2026-01-17
8,engineers_civil,108,2026-01-17
8,engineers_electrical,60,2026-01-17
8,employees_public,1335,2026-01-17
8,employees_private,2150,2026-01-17
8,agriculture_workers,1036,2026-01-17
8,construction_workers,1205,2026-01-17
8,technicians,664,2026-01-17
8,freelancers,686,2026-01-17
8,business_owners,245,2026-01-17
8,students_university,1965,2026-01-17
8,unemployed,2745,2026-01-17
9,doctors,22,2026-01-17
9,nurses,49,2026-01-17
9,teachers,442,2026-01-17
9,engineers_computer,93,2026-01-17
9,engineers_civil,106,2026-01-17
9,engineers_electrical,79,2026-01-17
9,employees_public,1050,2026-01-17
9,employees_private,2114,2026-01-17
9,agriculture_workers,422,2026-01-17
9,construction_workers,535,2026-01-17
9,technicians,662,2026-01-17
9,freelancers,556,2026-01-17
9,business_owners,208,2026-01-17
9,students_university,1584,2026-01-17
9,unemployed,3414,2026-01-17
10,doctors,56,2026-01-17
10,nurses,77,2026-01-17
10,teachers,711,2026-01-17
10,engineers_computer,205,2026-01-17
10,engineers_civil,153,2026-01-17
10,engineers_electrical,154,2026-01-17
10,employees_public,1746,2026-01-17
10,employees_private,2109,2026-01-17
10,agriculture_workers,961,2026-01-17
10,construction_workers,761,2026-01-17
10,technicians,651,2026-01-17
10,freelancers,697,2026-01-17
10,business_owners,250,2026-01-17
10,students_university,1793,2026-01-17
10,unemployed,2954,2026-01-17
11,doctors,36,2026-01-17
11,nurses,80,2026-01-17
11,teachers,686,2026-01-17
11,engineers_computer,158,2026-01-17
11,engineers_civil,127,2026-01-17
11,engineers_electrical,78,2026-01-17
11,employees_public,1651,2026-01-17
