id,from_locality_id,to_locality_id,from_lat,from_lon,to_lat,to_lon,distance_km,travel_time_min,road_type,max_speed,is_paved,geometry_wkt
1,1,21,31.941828039537363,35.0575032265668,31.961371550864477,35.0637473150967,2.25,3.4,residential,50,True,"LINESTRING(35.0575032265668 31.941828039537363, 35.0637473150967 31.961371550864477)"
2,1,60,31.941828039537363,35.0575032265668,31.93269106343145,35.09585178056489,3.76,5.6,residential,40,True,"LINESTRING(35.0575032265668 31.941828039537363, 35.09585178056489 31.93269106343145)"
3,1,10,31.941828039537363,35.0575032265668,31.992829137003348,35.05194962790342,5.7,8.5,residential,50,True,"LINESTRING(35.0575032265668 31.941828039537363, 35.05194962790342 31.992829137003348)"
4,2,40,31.832508795510734,35.11696322144465,31.829464049949415,35.123988252308195,0.75,0.7,primary,50,True,"LINESTRING(35.11696322144465 31.832508795510734, 35.123988252308195 31.829464049949415)"
5,2,35,31.832508795510734,35.11696322144465,31.844635914417722,35.13032226279272,1.85,1.8,residential,50,True,"LINESTRING(35.11696322144465 31.832508795510734, 35.13032226279272 31.844635914417722)"
6,2,22,31.832508795510734,35.11696322144465,31.818369482695463,35.136816389080636,2.45,3.7,residential,60,True,"LINESTRING(35.11696322144465 31.832508795510734, 35.136816389080636 31.818369482695463)"
7,3,11,31.970941364249203,35.253009846226874,31.99174577554984,35.25944181849647,2.39,2.4,primary,60,True,"LINESTRING(35.253009846226874 31.970941364249203, 35.25944181849647 31.99174577554984)"
8,3,16,31.970941364249203,35.253009846226874,31.992138481982312,35.26891953600815,2.79,3.4,secondary,60,True,"LINESTRING(35.253009846226874 31.970941364249203, 35.26891953600815 31.992138481982312)"
9,3,19,31.970941364249203,35.253009846226874,31.998821399275897,35.23555592570928,3.51,3.5,secondary,50,True,"LINESTRING(35.253009846226874 31.970941364249203, 35.23555592570928 31.998821399275897)"
10,4,10,32.01765387031145,35.076081649788826,31.992829137003348,35.05194962790342,3.58,3.6,secondary,40,True,"LINESTRING(35.076081649788826 32.01765387031145, 35.05194962790342 31.992829137003348)"
11,4,56,32.01765387031145,35.076081649788826,32.01275588211346,35.12901671522533,5.02,7.5,primary,40,True,"LINESTRING(35.076081649788826 32.01765387031145, 35.12901671522533 32.01275588211346)"
12,4,21,32.01765387031145,35.076081649788826,31.961371550864477,35.0637473150967,6.37,7.6,primary,60,True,"LINESTRING(35.076081649788826 32.01765387031145, 35.0637473150967 31.961371550864477)"
13,5,66,31.87657654590558,35.058939165831426,31.842254237620796,35.06737754994826,3.9,3.9,primary,60,True,"LINESTRING(35.058939165831426 31.87657654590558, 35.06737754994826 31.842254237620796)"
14,5,12,31.87657654590558,35.058939165831426,31.852075154955397,35.09664384994354,4.48,6.7,primary,40,True,"LINESTRING(35.058939165831426 31.87657654590558, 35.09664384994354 31.852075154955397)"
15,5,57,31.87657654590558,35.058939165831426,31.90017583391509,35.10359556415904,4.97,5.0,residential,40,True,"LINESTRING(35.058939165831426 31.87657654590558, 35.10359556415904 31.90017583391509)"
16,6,9,31.81559139244108,35.20160658643101,31.816132186612208,35.22677970516278,2.38,3.6,primary,40,True,"LINESTRING(35.20160658643101 31.81559139244108, 35.22677970516278 31.816132186612208)"
17,6,30,31.81559139244108,35.20160658643101,31.799020748128576,35.1638366325273,4.02,4.8,primary,60,True,"LINESTRING(35.20160658643101 31.81559139244108, 35.1638366325273 31.799020748128576)"
18,6,54,31.81559139244108,35.20160658643101,31.78346565207876,35.18042957520073,4.09,6.1,secondary,60,True,"LINESTRING(35.20160658643101 31.81559139244108, 35.18042957520073 31.78346565207876)"
19,7,23,31.75796079090516,35.109651295206,31.773937593077086,35.11983726590831,2.02,2.4,primary,60,True,"LINESTRING(35.109651295206 31.75796079090516, 35.11983726590831 31.773937593077086)"
