connection_id,from_locality_id,to_locality_id
1,1,12
2,2,45
3,3,7
4,4,22
5,5,36
6,6,11
7,7,29
8,8,53
9,9,2
10,10,17
11,11,6
12,12,41
13,13,58
14,14,27
15,15,34
16,16,50
17,17,3
18,18,12
19,19,44
20,20,7
21,21,61
22,22,9
23,23,36
24,24,14
25,25,18
26,26,40
27,27,5
28,28,62
29,29,13
30,30,33
31,31,48
32,32,21
33,33,1
34,34,55
35,35,8
36,36,26
37,37,19
38,38,60
39,39,30
40,40,16
41,41,24
42,42,4
43,43,37
44,44,11
45,45,52
46,46,15
47,47,28
48,48,7
49,49,43
50,50,10
51,51,23
52,52,6
53,53,31
54,54,2
55,55,38
56,56,17
57,57,49
58,58,12
59,59,21
60,60,5
61,61,29
62,62,1
63,63,33
64,64,46
65,65,8
66,66,37
67,67,22
68,1,45
69,2,6
70,3,52
71,4,14
72,5,60
73,6,19
74,7,32
75,8,51
76,9,4
77,10,28
78,11,41
79,12,15
80,13,36
81,14,55
82,15,7
83,16,20
84,17,63
85,18,2
86,19,47
87,20,31
88,21,12
89,22,59
90,23,18
91,24,48
92,25,10
93,26,42
94,27,6
95,28,30
96,29,14
97,30,37
98,31,1
99,32,54
100,33,8
101,34,22
102,35,40
103,36,17
104,37,11
105,38,51
106,39,19
107,40,27
108,41,5
109,42,36
110,43,9
111,44,62
112,45,13
113,46,35
114,47,50
115,48,21
116,49,3
117,50,59
118,51,18
119,52,45
120,53,7
