locality_id,estimated_demand_m3_day,per_capita_liters_day,priority_level
1,1200.5,150,high
2,850,120,medium
3,450.2,95.5,low
4,2100,180,high
5,1100,140,medium
6,320.5,85,low
7,1500.7,160,high
8,980,130,medium
9,2400,200,high
10,550.3,100,medium
11,1350,155,high
12,410,90,low
13,1800.5,175,high
14,720,115,medium
15,3000,210,high
16,640.2,105,medium
17,490,98,low
18,2250,185,high
19,1050.5,135,medium
20,880,125,medium
21,2700,195,high
22,430,92,low
23,1600.8,165,high
24,780,118,medium
25,1950,178,high
26,510.5,102,low
27,1420,152,high
28,890,128,medium
29,2600,190,high
30,600.2,108,medium
31,3100.5,215,high
32,440,94,low
33,1750,172,high
34,920.8,132,medium
35,2300,188,high
36,580,106,medium
37,470.5,99,low
38,2050,182,high
39,1150,142,medium
40,820.2,122,medium
41,2800,200,high
42,400,88,low
43,1550.5,162,high
44,750,112,medium
45,2150,184,high
46,530.5,104,low
47,1380,148,high
48,960,134,medium
49,2500,192,high
50,620.2,110,medium
51,3200.5,220,high
52,420,91,low
53,1680,168,high
54,840.8,124,medium
55,2450,196,high
56,560,103,medium
57,480.5,97,low
58,2100,186,high
59,1020,138,medium
60,800.2,121,medium
61,2900,205,high
62,390,86,low
63,1480.5,158,high
64,700,111,medium
65,2200,188,high
66,540.5,102,low
67,1320,146,high
