interruption_id,locality_id,reason,start_date,end_date,severity
1,1,maintenance,6/5/2025,6/6/2025,low
2,2,damage,6/12/2025,6/15/2025,medium
3,3,shortage,6/1/2025,,high
4,4,shortage,6/1/2025,,high
5,5,maintenance,6/20/2025,6/21/2025,low
6,6,damage,6/25/2025,6/28/2025,medium
7,7,shortage,7/2/2025,,high
8,8,maintenance,7/10/2025,7/10/2025,low
9,9,shortage,7/5/2025,,high
10,10,damage,7/15/2025,7/17/2025,medium
11,11,shortage,7/3/2025,,high
12,12,maintenance,7/20/2025,7/20/2025,low
13,13,damage,7/22/2025,7/24/2025,medium
14,14,maintenance,7/28/2025,7/28/2025,low
15,15,shortage,8/1/2025,8/3/2025,medium
16,16,damage,8/5/2025,8/8/2025,high
17,17,maintenance,8/10/2025,8/10/2025,low
18,18,shortage,8/1/2025,,high
19,19,damage,8/12/2025,8/14/2025,medium
20,20,maintenance,8/15/2025,8/15/2025,low
21,21,shortage,8/18/2025,8/20/2025,medium
22,22,shortage,6/15/2025,,high
23,23,damage,6/18/2025,6/21/2025,medium
24,24,maintenance,6/22/2025,6/22/2025,low
25,25,shortage,6/25/2025,6/27/2025,medium
26,26,shortage,7/1/2025,,high
27,27,damage,7/5/2025,7/6/2025,low
28,28,maintenance,7/8/2025,7/8/2025,low
29,29,shortage,7/12/2025,,high
30,30,damage,7/18/2025,7/19/2025,medium
31,31,shortage,7/22/2025,7/25/2025,medium
32,32,shortage,8/1/2025,,high
33,33,damage,8/5/2025,8/6/2025,medium
34,34,maintenance,8/8/2025,8/8/2025,low
35,35,shortage,8/10/2025,8/12/2025,medium
36,36,damage,8/15/2025,8/16/2025,medium
37,37,shortage,9/1/2025,,high
38,38,shortage,9/3/2025,,high
39,39,maintenance,9/5/2025,9/5/2025,low
40,40,damage,9/8/2025,9/12/2025,high
41,41,shortage,6/10/2025,,high
42,42,shortage,6/12/2025,,high
43,43,shortage,6/28/2025,,high
44,44,maintenance,7/5/2025,7/5/2025,low
45,45,shortage,7/10/2025,,high
46,46,shortage,7/15/2025,,high
47,47,damage,7/20/2025,7/23/2025,medium
48,48,maintenance,7/25/2025,7/25/2025,low
49,49,shortage,8/2/2025,,high
50,50,shortage,8/5/2025,,high
51,51,damage,8/10/2025,8/11/2025,medium
52,52,maintenance,8/14/2025,8/14/2025,low
53,53,shortage,8/18/2025,,high
54,54,damage,8/22/2025,8/23/2025,low
55,55,shortage,8/25/2025,8/26/2025,medium
56,56,shortage,9/1/2025,,high
57,57,shortage,9/2/2025,,high
58,58,shortage,9/4/2025,,high
59,59,shortage,9/6/2025,,high
60,60,damage,9/10/2025,9/12/2025,medium
61,61,shortage,9/14/2025,,high
62,62,maintenance,6/30/2025,6/30/2025,low
63,63,damage,7/14/2025,7/16/2025,high
64,64,maintenance,7/28/2025,7/28/2025,low
65,65,shortage,8/15/2025,,high
66,66,damage,8/25/2025,8/26/2025,medium
67,67,shortage,9/15/2025,,high
68,1,shortage,8/20/2025,8/22/2025,medium
69,10,maintenance,8/28/2025,8/28/2025,low
70,25,damage,9/5/2025,9/6/2025,medium
