connection_id,water_source_id,locality_id
1,SPR-017,12
2,WELL-04,7
3,SPR-093,55
4,SPR-004,33
5,WELL-02,2
6,SPR-061,41
7,SPR-008,19
8,SPR-052,4
9,WELL-15,66
10,SPR-019,15
11,SPR-073,31
12,SPR-011,57
13,SPR-037,8
14,WELL-09,22
15,SPR-001,46
16,SPR-045,11
17,SPR-086,17
18,WELL-06,51
19,SPR-054,61
20,SPR-039,2
21,SPR-077,28
22,SPR-030,12
23,SPR-062,40
24,WELL-01,65
25,SPR-049,3
26,SPR-066,21
27,SPR-018,7
28,SPR-072,10
29,SPR-038,44
30,SPR-022,6
31,SPR-041,50
32,SPR-059,19
33,SPR-013,5
34,SPR-003,23
35,SPR-092,1
36,WELL-11,47
37,SPR-083,14
38,SPR-096,30
39,SPR-006,52
40,SPR-031,58
41,SPR-016,32
42,SPR-081,27
43,WELL-07,61
44,SPR-043,39
45,SPR-021,18
46,SPR-051,26
47,SPR-055,35
48,SPR-090,42
49,WELL-14,16
50,SPR-048,13
51,SPR-005,60
52,SPR-068,49
53,SPR-058,9
54,SPR-012,22
55,WELL-10,3
56,SPR-036,34
57,SPR-074,11
58,SPR-064,25
59,SPR-079,20
60,SPR-053,7
61,SPR-015,45
62,WELL-03,29
63,SPR-071,38
64,SPR-007,36
65,SPR-035,24
66,SPR-027,6
67,WELL-12,41
68,SPR-082,15
69,SPR-025,53
70,SPR-056,12
71,SPR-085,40
72,SPR-047,48
73,SPR-091,2
74,SPR-050,17
75,SPR-065,30
76,WELL-08,9
77,SPR-032,31
78,SPR-024,20
79,SPR-020,33
80,SPR-042,62
81,SPR-067,37
82,SPR-023,19
83,SPR-028,1
84,SPR-033,29
85,SPR-029,10
86,SPR-002,55
87,WELL-05,7
88,SPR-060,36
89,SPR-088,26
90,SPR-089,46
91,SPR-040,5
92,SPR-009,32
93,SPR-034,44
94,SPR-030,8
95,SPR-063,12
96,SPR-046,21
97,SPR-078,14
98,SPR-026,50
99,SPR-044,16
100,WELL-16,61
101,SPR-001,42
102,SPR-010,24
103,SPR-017,35
104,SPR-019,47
105,SPR-074,6
106,SPR-004,28
107,WELL-13,18
108,SPR-080,30
109,SPR-003,56
110,SPR-022,34
111,SPR-037,11
112,SPR-051,40
113,SPR-058,17
114,SPR-066,27
115,SPR-073,49
116,SPR-012,20
117,SPR-031,2
118,SPR-057,23
119,WELL-02,45
120,SPR-041,13
121,SPR-052,31
122,SPR-070,55
123,SPR-016,4
124,SPR-067,38
125,SPR-025,7
126,SPR-048,60
127,WELL-01,15
128,SPR-036,9
129,SPR-006,36
130,SPR-059,19
131,SPR-021,28
132,SPR-039,43
133,SPR-013,25
134,SPR-054,3
135,SPR-046,34
136,SPR-055,62
137,WELL-09,1
138,SPR-065,41
139,SPR-020,14
140,SPR-032,50
141,SPR-080,11
142,SPR-049,8
143,SPR-045,53
144,SPR-083,5
145,SPR-086,30
146,SPR-008,16
147,SPR-015,26
148,SPR-026,44
149,WELL-11,22
150,SPR-030,19
151,SPR-043,37
152,SPR-009,2
153,SPR-034,58
154,SPR-018,32
155,SPR-060,40
156,SPR-064,7
157,SPR-001,27
158,SPR-028,12
159,SPR-061,55
160,WELL-03,9
161,SPR-079,46
162,SPR-087,24
163,SPR-038,31
164,SPR-050,14
165,SPR-033,36
166,SPR-069,18
167,SPR-068,49
168,SPR-084,17
169,SPR-023,33
170,WELL-06,5
171,SPR-044,41
172,SPR-002,2
173,SPR-011,37
174,SPR-040,8
175,SPR-024,48
176,SPR-053,55
177,SPR-027,20
178,SPR-007,15
179,SPR-042,60
180,SPR-081,32
181,SPR-047,10
182,SPR-014,28
183,WELL-10,41
184,SPR-035,4
185,SPR-029,49
186,SPR-063,26
187,SPR-008,11
188,SPR-076,36
189,SPR-005,38
190,WELL-14,21
191,SPR-031,22
192,SPR-017,33
193,SPR-021,51
194,SPR-062,18
195,SPR-041,5
196,SPR-032,42
197,SPR-053,8
198,SPR-045,25
199,SPR-068,44
200,SPR-002,19
201,SPR-001,15
202,SPR-019,34
203,SPR-037,6
204,SPR-064,28
205,WELL-12,13
206,SPR-012,57
207,SPR-060,7
208,SPR-050,31
209,SPR-039,1
210,SPR-016,16
211,SPR-073,30
212,SPR-006,53
213,SPR-028,12
214,SPR-009,45
215,SPR-087,38
216,SPR-081,22
217,SPR-026,17
218,SPR-046,3
219,SPR-030,49
220,SPR-056,14
221,SPR-018,36
222,SPR-064,52
223,SPR-020,23
224,SPR-068,41
225,WELL-05,26
226,SPR-033,55
227,SPR-065,6
228,SPR-034,12
229,SPR-061,33
230,SPR-071,18
231,SPR-040,42
232,SPR-024,10
233,SPR-043,19
234,SPR-073,27
235,SPR-081,36
236,SPR-009,7
237,WELL-08,14
238,SPR-022,48
239,SPR-055,39
240,SPR-064,60
241,SPR-031,2
242,SPR-020,30
243,SPR-012,11
244,SPR-019,15
245,SPR-015,49
246,SPR-002,6
247,SPR-038,41
248,SPR-050,20
249,SPR-057,1
250,SPR-018,32
251,SPR-074,43
252,SPR-079,36
253,SPR-048,26
254,SPR-006,37
255,WELL-13,51
256,SPR-036,17
257,SPR-087,22
258,SPR-030,55
259,SPR-052,14
260,SPR-061,31
261,SPR-064,40
262,SPR-071,4
263,SPR-044,10
264,SPR-059,48
265,SPR-014,23
266,SPR-039,35
267,SPR-003,12
268,SPR-073,18
269,SPR-086,50
270,SPR-021,7
271,SPR-008,41
272,SPR-010,2
273,SPR-045,36
274,SPR-068,27
275,SPR-033,6
276,SPR-055,30
277,WELL-16,5
278,SPR-028,12
279,SPR-032,44
280,SPR-076,20
281,SPR-052,37
282,SPR-006,15
283,SPR-043,33
284,SPR-065,18
285,SPR-011,41
286,SPR-026,23
287,SPR-001,14
288,SPR-084,49
289,SPR-037,28
290,SPR-063,7
291,SPR-017,32
292,SPR-057,60
293,SPR-046,36
294,SPR-074,19
295,SPR-030,52
296,SPR-048,25
297,SPR-022,8
298,SPR-050,31
299,SPR-007,11
300,SPR-016,46
