storage_id,locality_id,capacity_m3,current_level_m3,operational
1,1,5000,3200.5,TRUE
2,1,2500,1800,TRUE
3,2,10000,8500.2,TRUE
4,2,4500,3800,TRUE
5,3,3500,0,FALSE
6,3,1500,0,FALSE
7,4,8000,4200.7,TRUE
8,4,3000,2100,TRUE
9,5,4500,4100,TRUE
10,5,2200,1950.5,TRUE
11,6,12000,9800.5,TRUE
12,6,5000,4200,TRUE
13,7,6000,0,FALSE
14,7,2500,0,FALSE
15,8,7500,5500.3,TRUE
16,8,3000,2100,TRUE
17,9,9000,1200,TRUE
18,9,4000,800,TRUE
19,10,5000,4800,TRUE
20,10,2500,2100,TRUE
21,11,3000,0,FALSE
22,12,6500,5200.4,TRUE
23,13,4000,3100,TRUE
24,14,8500,7000.6,TRUE
25,15,11000,2000,TRUE
26,16,5500,5100.2,TRUE
27,17,4200,3800,TRUE
28,18,9500,0,FALSE
29,19,7000,6200.8,TRUE
30,20,3000,2500,TRUE
31,21,15000,11000.5,TRUE
32,22,2800,0,FALSE
33,23,6000,4800.2,TRUE
34,24,8000,7200,TRUE
35,25,4500,3900.4,TRUE
36,26,10000,0,FALSE
37,27,5500,4200.7,TRUE
38,28,3800,3100,TRUE
39,29,1200,1050.5,TRUE
40,30,6000,0,FALSE
41,31,7500,5800.3,TRUE
42,32,9000,8200,TRUE
43,33,5000,4500.1,TRUE
44,34,3200,0,FALSE
45,35,6500,5900.4,TRUE
46,36,4800,4100,TRUE
47,37,8500,7200.6,TRUE
48,38,1100,0,FALSE
49,39,5500,4900.2,TRUE
50,40,4000,3500,TRUE
51,41,9500,8200.8,TRUE
52,42,7000,0,FALSE
53,43,3000,2400,TRUE
54,44,1500,1250.5,TRUE
55,45,2500,0,FALSE
56,46,6000,5100.2,TRUE
57,47,8000,7400,TRUE
58,48,4500,3800.4,TRUE
59,49,10000,0,FALSE
60,50,5500,4600.7,TRUE
61,51,3500,2900,TRUE
62,52,12000,10200.5,TRUE
63,53,6000,0,FALSE
64,54,7500,6100.3,TRUE
65,55,9000,8500,TRUE
66,56,5000,4100.1,TRUE
67,57,3000,0,FALSE
68,58,6500,5700.4,TRUE
69,59,4200,3900,TRUE
70,60,8500,7500.6,TRUE
71,61,11000,0,FALSE
72,62,5500,5000.2,TRUE
73,63,4000,3200,TRUE
74,64,9500,8600.8,TRUE
75,65,7000,0,FALSE
76,66,3000,2700,TRUE
77,67,15000,13000.5,TRUE
