locality_id,source_id,allocated_m3_day,actual_m3_day,supply_hours_per_day,last_updated
1,3,1000,0,0,1/1/2025
12,1,500,450,18.5,1/1/2025
67,100,1200,0,0,1/1/2025
22,4,4000,0,0,1/1/2025
33,13,1500,1450,22,1/1/2025
45,22,400,0,0,1/1/2025
60,10,3000,2800,20,1/1/2025
5,9,2000,0,0,1/1/2025
18,16,4000,3850,24,1/1/2025
34,23,3000,0,0,1/1/2025
2,2,3500,3200,16,1/1/2025
11,32,800,0,0,1/1/2025
29,33,1500,0,0,1/1/2025
6,19,3000,2900,24,1/1/2025
48,41,4500,0,0,1/1/2025
53,38,1800,0,0,1/1/2025
14,90,4000,3800,18,1/1/2025
40,50,600,0,0,1/1/2025
21,14,1000,950,19,1/1/2025
64,88,650,0,0,1/1/2025
7,37,2500,0,0,1/1/2025
38,29,3000,0,0,1/1/2025
59,59,400,0,0,1/1/2025
10,92,2500,2400,12,1/1/2025
33,48,3500,3400,23.5,1/1/2025
1,75,1500,1400,14,1/1/2025
46,46,1800,0,0,1/1/2025
25,82,3000,2900,15,1/1/2025
50,31,3800,3700,22,1/1/2025
4,25,1500,1400,14,1/1/2025
31,73,1000,0,0,1/1/2025
57,96,180,150,24,1/1/2025
13,83,2500,0,0,1/1/2025
36,87,2000,1800,18,1/1/2025
61,77,400,0,0,1/1/2025
20,11,3500,3400,15,1/1/2025
42,86,3500,0,0,1/1/2025
17,7,2000,1900,11,1/1/2025
30,94,2500,2400,20,1/1/2025
58,58,700,0,0,1/1/2025
16,36,3000,2900,13,1/1/2025
49,85,2000,1900,12.5,1/1/2025
63,93,3800,0,0,1/1/2025
9,71,4500,4200,14,1/1/2025
37,91,3000,0,0,1/1/2025
56,56,3500,0,0,1/1/2025
24,18,900,850,10,1/1/2025
43,43,4000,0,0,1/1/2025
19,39,1800,1700,19,1/1/2025
52,98,2500,0,0,1/1/2025
8,53,3500,3400,14.5,1/1/2025
32,32,800,0,0,1/1/2025
47,84,1800,1700,21,1/1/2025
15,6,3500,3400,24,1/1/2025
26,41,4500,0,0,1/1/2025
54,97,4200,4100,18,1/1/2025
3,89,600,550,12.5,1/1/2025
44,44,4500,4400,24,1/1/2025
28,73,1000,0,0,1/1/2025
51,34,3500,3400,21.5,1/1/2025
12,52,2800,2700,11.5,1/1/2025
35,83,2800,0,0,1/1/2025
60,9,2000,0,0,1/1/2025
23,66,3200,3100,14,1/1/2025
40,21,120,100,18,1/1/2025
55,79,4500,4400,22,1/1/2025
7,47,900,850,15.5,1/1/2025
22,95,1800,1750,15.5,1/1/2025
48,12,110,100,23,1/1/2025
14,35,900,850,13,1/1/2025
39,64,3200,3100,19.5,1/1/2025
53,81,650,600,11.5,1/1/2025
2,57,800,750,13.5,1/1/2025
29,1,650,600,14.5,1/1/2025
64,46,1800,0,0,1/1/2025
11,76,3200,3100,12.5,1/1/2025
38,28,3200,3100,17,1/1/2025
59,100,1500,0,0,1/1/2025
10,61,800,750,11,1/1/2025
33,9,2200,0,0,1/1/2025
1,43,4000,0,0,1/1/2025
46,84,1800,1750,12,1/1/2025
25,23,3200,0,0,1/1/2025
50,70,1200,1150,13.5,1/1/2025
4,14,900,850,10.5,1/1/2025
31,37,2800,0,0,1/1/2025
57,91,3200,0,0,1/1/2025
13,44,4500,4400,24,1/1/2025
36,6,3800,3700,18.5,1/1/2025
61,58,800,0,0,1/1/2025
20,19,3000,2900,12,1/1/2025
42,88,600,0,0,1/1/2025
17,3,4000,0,0,1/1/2025
30,75,1500,1400,12,1/1/2025
58,26,3800,3700,22.5,1/1/2025
16,92,2500,2400,14.5,1/1/2025
49,48,3500,3400,20,1/1/2025
63,13,1800,1750,11,1/1/2025
9,82,3200,3100,11,1/1/2025
37,31,3800,3700,13,1/1/2025
56,25,1600,1500,16,1/1/2025
24,50,600,0,0,1/1/2025
43,96,180,150,23.5,1/1/2025
19,63,2200,2100,12.5,1/1/2025
52,87,2000,1950,19,1/1/2025
8,42,800,0,0,1/1/2025
32,11,3800,3700,22,1/1/2025
47,59,400,0,0,1/1/2025
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
